index,benchmark_id,sample_path,proposal_id,dao,chain_id,simulation_status,trace_source,call_count,max_depth,delegatecall_count,risk_action_count,raw_detected_count,filtered_count,deduplicated_count,risk_action_types,error,elapsed_seconds,trace_output,risk_actions_output
77,real-ens-0017,data\raw_samples\real-ens-0017.json,48262157524430528705514027771464261215955420389394621161356313649894506972547,ENS,1,success,simulated_trace,1,0,0,0,0,0,0,,,7.934,outputs\traces\real-ens-0017-trace.json,outputs\risk_actions\real-ens-0017-risk-actions.json
78,real-ens-0018,data\raw_samples\real-ens-0018.json,69304512515872868228453463730257567312488838925636819022683533220991373699419,ENS,1,reverted_with_trace,simulated_trace,5,1,0,0,0,0,0,,,13.397,outputs\traces\real-ens-0018-trace.json,outputs\risk_actions\real-ens-0018-risk-actions.json
79,real-ens-0019,data\raw_samples\real-ens-0019.json,43003012871521685709452092060115706577030630127946926655190871046443785691900,ENS,1,reverted_with_trace,simulated_trace,32,1,0,2,4,0,2,unknown:2,,23.651,outputs\traces\real-ens-0019-trace.json,outputs\risk_actions\real-ens-0019-risk-actions.json
80,real-ens-0020,data\raw_samples\real-ens-0020.json,93339540979084434403669350155813124666788975924280943502320960019054315770244,ENS,1,success,simulated_trace,1,0,0,0,0,0,0,,,5.307,outputs\traces\real-ens-0020-trace.json,outputs\risk_actions\real-ens-0020-risk-actions.json
81,real-nouns-dao-0001,data\raw_samples\real-nouns-dao-0001.json,215,Nouns DAO,1,success,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;transfer:1,,6.757,outputs\traces\real-nouns-dao-0001-trace.json,outputs\risk_actions\real-nouns-dao-0001-risk-actions.json
82,real-nouns-dao-0002,data\raw_samples\real-nouns-dao-0002.json,152,Nouns DAO,1,success,simulated_trace,5,1,2,5,5,0,0,delegatecall:2;transfer:1;unknown:1;upgrade:1,,6.991,outputs\traces\real-nouns-dao-0002-trace.json,outputs\risk_actions\real-nouns-dao-0002-risk-actions.json
83,real-nouns-dao-0003,data\raw_samples\real-nouns-dao-0003.json,57,Nouns DAO,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,5.603,outputs\traces\real-nouns-dao-0003-trace.json,outputs\risk_actions\real-nouns-dao-0003-risk-actions.json
84,real-nouns-dao-0004,data\raw_samples\real-nouns-dao-0004.json,173,Nouns DAO,1,success,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;transfer:1,,7.631,outputs\traces\real-nouns-dao-0004-trace.json,outputs\risk_actions\real-nouns-dao-0004-risk-actions.json
85,real-nouns-dao-0005,data\raw_samples\real-nouns-dao-0005.json,189,Nouns DAO,1,success,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;transfer:1,,6.056,outputs\traces\real-nouns-dao-0005-trace.json,outputs\risk_actions\real-nouns-dao-0005-risk-actions.json
86,real-nouns-dao-0006,data\raw_samples\real-nouns-dao-0006.json,223,Nouns DAO,1,success,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;transfer:1,,5.771,outputs\traces\real-nouns-dao-0006-trace.json,outputs\risk_actions\real-nouns-dao-0006-risk-actions.json
87,real-nouns-dao-0007,data\raw_samples\real-nouns-dao-0007.json,435,Nouns DAO,1,success,simulated_trace,5,4,2,5,5,0,0,delegatecall:2;transfer:1;unknown:2,,13.302,outputs\traces\real-nouns-dao-0007-trace.json,outputs\risk_actions\real-nouns-dao-0007-risk-actions.json
88,real-nouns-dao-0008,data\raw_samples\real-nouns-dao-0008.json,332,Nouns DAO,1,success,simulated_trace,4,2,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,12.252,outputs\traces\real-nouns-dao-0008-trace.json,outputs\risk_actions\real-nouns-dao-0008-risk-actions.json
